observableId	simulationConditionId	time	measurement	preequilibrationConditionId
SMAD4	dose_0.01	1.0e8	0.84443172	preeq_ss
SMAD4	dose_0.1	1.0e8	1.0	preeq_ss
SMAD4	dose_0.2	1.0e8	0.92314582	preeq_ss
SMAD4	dose_0.5	1.0e8	0.71306271	preeq_ss
SMAD4	dose_1.0	1.0e8	0.54342055	preeq_ss
SMAD4	dose_5.0	1.0e8	0.34600806	preeq_ss
SMAD4	dose_10.0	1.0e8	0.29069637	preeq_ss
SMAD4	dose_25.0	1.0e8	0.10460106	preeq_ss
SMAD4	dose_50.0	1.0e8	0.12529687	preeq_ss
SMAD4	dose_0.01	1.0e8	0.95946558	preeq_ss
SMAD4	dose_0.1	1.0e8	1.0	preeq_ss
SMAD4	dose_0.2	1.0e8	0.69685148	preeq_ss
SMAD4	dose_0.5	1.0e8	0.43676695	preeq_ss
SMAD4	dose_1.0	1.0e8	0.3104759	preeq_ss
SMAD4	dose_5.0	1.0e8	0.20110786	preeq_ss
SMAD4	dose_10.0	1.0e8	0.16359067	preeq_ss
SMAD4	dose_25.0	1.0e8	0.21317303	preeq_ss
SMAD4	dose_50.0	1.0e8	0.20108035	preeq_ss
SMAD4	dose_0.01	1.0e8	1.0	preeq_ss
SMAD4	dose_0.1	1.0e8	0.90537092	preeq_ss
SMAD4	dose_0.2	1.0e8	0.85744098	preeq_ss
SMAD4	dose_0.5	1.0e8	0.67042422	preeq_ss
SMAD4	dose_1.0	1.0e8	0.32942995	preeq_ss
SMAD4	dose_5.0	1.0e8	0.22001967	preeq_ss
SMAD4	dose_10.0	1.0e8	0.13245738	preeq_ss
SMAD4	dose_25.0	1.0e8	0.12984823	preeq_ss
SMAD4	dose_50.0	1.0e8	0.10950957	preeq_ss
STAT3_active	dose_0.01	1.0e8	0.31769628	preeq_ss
STAT3_active	dose_0.1	1.0e8	0.27323704	preeq_ss
STAT3_active	dose_0.2	1.0e8	0.22624301	preeq_ss
STAT3_active	dose_0.5	1.0e8	0.67745836	preeq_ss
STAT3_active	dose_1.0	1.0e8	0.72689673	preeq_ss
STAT3_active	dose_5.0	1.0e8	1.0	preeq_ss
STAT3_active	dose_10.0	1.0e8	0.98011682	preeq_ss
STAT3_active	dose_25.0	1.0e8	0.85853612	preeq_ss
STAT3_active	dose_50.0	1.0e8	0.75153517	preeq_ss
STAT3_active	dose_0.01	1.0e8	0.16617486	preeq_ss
STAT3_active	dose_0.1	1.0e8	0.16508518	preeq_ss
STAT3_active	dose_0.2	1.0e8	0.33165578	preeq_ss
STAT3_active	dose_0.5	1.0e8	0.44713409	preeq_ss
STAT3_active	dose_1.0	1.0e8	0.71450304	preeq_ss
STAT3_active	dose_5.0	1.0e8	0.74065623	preeq_ss
STAT3_active	dose_10.0	1.0e8	1.0	preeq_ss
STAT3_active	dose_25.0	1.0e8	0.97661842	preeq_ss
STAT3_active	dose_50.0	1.0e8	0.88389443	preeq_ss
STAT3_active	dose_0.01	1.0e8	0.17599704	preeq_ss
STAT3_active	dose_0.1	1.0e8	0.26088764	preeq_ss
STAT3_active	dose_0.2	1.0e8	0.29766034	preeq_ss
STAT3_active	dose_0.5	1.0e8	0.40212822	preeq_ss
STAT3_active	dose_1.0	1.0e8	0.79236068	preeq_ss
STAT3_active	dose_5.0	1.0e8	0.93721219	preeq_ss
STAT3_active	dose_10.0	1.0e8	0.87838685	preeq_ss
STAT3_active	dose_25.0	1.0e8	0.8761855	preeq_ss
STAT3_active	dose_50.0	1.0e8	1.0	preeq_ss
