observableId	simulationConditionId	datasetId	replicateId	time	measurement	observableParameters	noiseParameters
PKA_active	TREG	time_course_PKA	rep1	0	0.264429	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep2	0	0.224429	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep3	0	0.134429	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep1	5	1.200352	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep2	5	1.360352	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep3	5	1.260352	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep1	10	0.984667	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep2	10	0.704667	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep3	10	1.234667	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep1	15	0.977561	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep2	15	1.167561	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep3	15	0.877561	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep1	30	0.949531	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep2	30	0.609531	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep3	30	1.149531	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep1	45	1.123452	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep2	45	1.223452	scale_PKA_active	sigma_PKA
PKA_active	TREG	time_course_PKA	rep3	45	1.183452	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep1	0	0.264429	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep2	0	0.224429	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep3	0	0.134429	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep1	5	0.438157	scale_PKA_active	sigma_PKA
