observableId	simulationConditionId	time	measurement	preequilibrationConditionId
Free_TGFb_obs	TREG	0.0	1.0	preeq_ss
IL6R_Active	TREG	0.0	0.0	preeq_ss
Free_IL6_obs	TREG	0.0	0.0	preeq_ss
pSMAD3_obs	TREG	0.0	86.61154369660719	preeq_ss
STAT3d_active_obs	TREG	0.0	-5.574764876436451e-21	preeq_ss
S3S4_complex_obs	TREG	0.0	49.83463090436899	preeq_ss
S3STAT3d_complex_obs	TREG	0.0	-5.558053233731509e-21	preeq_ss
PKA_active	TREG	0.0	43.932153886115756	preeq_ss
Free_TGFb_obs	TREG	5.0	1.0	preeq_ss
IL6R_Active	TREG	5.0	0.0	preeq_ss
Free_IL6_obs	TREG	5.0	0.0	preeq_ss
pSMAD3_obs	TREG	5.0	86.61154369660719	preeq_ss
STAT3d_active_obs	TREG	5.0	-5.570991454922438e-21	preeq_ss
S3S4_complex_obs	TREG	5.0	49.83463090436899	preeq_ss
S3STAT3d_complex_obs	TREG	5.0	-5.55590486505805e-21	preeq_ss
PKA_active	TREG	5.0	43.932153886115756	preeq_ss
Free_TGFb_obs	TREG	10.0	1.0	preeq_ss
IL6R_Active	TREG	10.0	0.0	preeq_ss
Free_IL6_obs	TREG	10.0	0.0	preeq_ss
pSMAD3_obs	TREG	10.0	86.61154369660719	preeq_ss
STAT3d_active_obs	TREG	10.0	-5.5672225130957385e-21	preeq_ss
S3S4_complex_obs	TREG	10.0	49.834630904368986	preeq_ss
S3STAT3d_complex_obs	TREG	10.0	-5.552146129759002e-21	preeq_ss
PKA_active	TREG	10.0	43.932153886115756	preeq_ss
Free_TGFb_obs	TREG	15.0	1.0	preeq_ss
IL6R_Active	TREG	15.0	0.0	preeq_ss
Free_IL6_obs	TREG	15.0	0.0	preeq_ss
pSMAD3_obs	TREG	15.0	86.61154369660719	preeq_ss
STAT3d_active_obs	TREG	15.0	-5.563457245336818e-21	preeq_ss
S3S4_complex_obs	TREG	15.0	49.834630904368986	preeq_ss
S3STAT3d_complex_obs	TREG	15.0	-5.548391058578337e-21	preeq_ss
PKA_active	TREG	15.0	43.932153886115756	preeq_ss
Free_TGFb_obs	TREG	20.0	1.0	preeq_ss
IL6R_Active	TREG	20.0	0.0	preeq_ss
Free_IL6_obs	TREG	20.0	0.0	preeq_ss
