observableId	simulationConditionId	time	measurement	observableParameters	noiseParameters
Free_IL6_obs	TREG	0	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	0	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	0	1e-08	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TREG	0	1	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	0	1	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	0	1	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TREG	0	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	0	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	0	1e-08	scale_IL6R_Active	sigma_const
TGFbR_Active	TREG	0	1e-08	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	0	1e-08	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	0	1e-08	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TREG	0	1e-08	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	0	1e-08	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	0	1e-08	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TREG	0	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	0	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	0	1e-08	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TREG	0	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	0	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	0	1e-08	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TREG	0	1e-08	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	0	1e-08	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	0	1e-08	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	0	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	0	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	0	1e-08	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TREG	0	1e-08	scale_PKA_active	sigma_const
PKA_active	TREG	0	1e-08	scale_PKA_active	sigma_const
PKA_active	TREG	0	1e-08	scale_PKA_active	sigma_const
Free_IL6_obs	TREG	5	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	5	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	5	1e-08	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TREG	5	0.017205556	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	5	0.017205556	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	5	0.017205556	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TREG	5	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	5	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	5	1e-08	scale_IL6R_Active	sigma_const
TGFbR_Active	TREG	5	0.92500816	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	5	0.92500816	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	5	0.92500816	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TREG	5	0.041810423	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	5	0.041810423	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	5	0.041810423	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TREG	5	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	5	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	5	1e-08	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TREG	5	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	5	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	5	1e-08	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TREG	5	0.041067596	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	5	0.041067596	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	5	0.041067596	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	5	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	5	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	5	1e-08	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TREG	5	0.021840208	scale_PKA_active	sigma_const
PKA_active	TREG	5	0.021840208	scale_PKA_active	sigma_const
PKA_active	TREG	5	0.021840208	scale_PKA_active	sigma_const
Free_IL6_obs	TREG	10	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	10	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	10	1e-08	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TREG	10	0.012482279	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	10	0.012482279	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	10	0.012482279	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TREG	10	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	10	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	10	1e-08	scale_IL6R_Active	sigma_const
TGFbR_Active	TREG	10	0.96250471	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	10	0.96250471	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	10	0.96250471	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TREG	10	0.11128479	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	10	0.11128479	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	10	0.11128479	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TREG	10	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	10	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	10	1e-08	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TREG	10	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	10	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	10	1e-08	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TREG	10	0.11050055	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	10	0.11050055	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	10	0.11050055	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	10	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	10	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	10	1e-08	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TREG	10	0.097552155	scale_PKA_active	sigma_const
PKA_active	TREG	10	0.097552155	scale_PKA_active	sigma_const
PKA_active	TREG	10	0.097552155	scale_PKA_active	sigma_const
Free_IL6_obs	TREG	15	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	15	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	15	1e-08	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TREG	15	0.012353088	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	15	0.012353088	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	15	0.012353088	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TREG	15	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	15	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	15	1e-08	scale_IL6R_Active	sigma_const
TGFbR_Active	TREG	15	0.96353237	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	15	0.96353237	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	15	0.96353237	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TREG	15	0.18168112	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	15	0.18168112	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	15	0.18168112	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TREG	15	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	15	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	15	1e-08	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TREG	15	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	15	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	15	1e-08	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TREG	15	0.18089397	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	15	0.18089397	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	15	0.18089397	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	15	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	15	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	15	1e-08	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TREG	15	0.20652583	scale_PKA_active	sigma_const
PKA_active	TREG	15	0.20652583	scale_PKA_active	sigma_const
PKA_active	TREG	15	0.20652583	scale_PKA_active	sigma_const
Free_IL6_obs	TREG	30	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	30	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	30	1e-08	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TREG	30	0.012349441	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	30	0.012349441	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	30	0.012349441	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TREG	30	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	30	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	30	1e-08	scale_IL6R_Active	sigma_const
TGFbR_Active	TREG	30	0.96356138	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	30	0.96356138	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	30	0.96356138	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TREG	30	0.3929296	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	30	0.3929296	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	30	0.3929296	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TREG	30	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	30	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	30	1e-08	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TREG	30	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	30	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	30	1e-08	scale_STAT3d_active_obs	sigma_const
