observableId	simulationConditionId	time	measurement	preequilibrationConditionId
Free_TGFb_obs	TREG	0	1.0015122	preeq_ss
IL6R_Active	TREG	0	9.9480117e-09	preeq_ss
Free_IL6_obs	TREG	0	1.0037467e-08	preeq_ss
pSMAD3_obs	TREG	0	83.722916	preeq_ss
STAT3d_active_obs	TREG	0	9.9027993e-09	preeq_ss
S3S4_complex_obs	TREG	0	49.668387	preeq_ss
S3STAT3d_complex_obs	TREG	0	1.0006269e-08	preeq_ss
PKA_active	TREG	0	47.734035	preeq_ss
Free_TGFb_obs	TREG	5	0.9999035	preeq_ss
IL6R_Active	TREG	5	9.9573144e-09	preeq_ss
Free_IL6_obs	TREG	5	1.0043941e-08	preeq_ss
pSMAD3_obs	TREG	5	83.654805	preeq_ss
STAT3d_active_obs	TREG	5	1.0003177e-08	preeq_ss
S3S4_complex_obs	TREG	5	50.27539	preeq_ss
S3STAT3d_complex_obs	TREG	5	1.0023277e-08	preeq_ss
PKA_active	TREG	5	47.604602	preeq_ss
Free_TGFb_obs	TREG	10	1.0018329	preeq_ss
IL6R_Active	TREG	10	9.9520465e-09	preeq_ss
Free_IL6_obs	TREG	10	1.0043893e-08	preeq_ss
pSMAD3_obs	TREG	10	83.30931	preeq_ss
STAT3d_active_obs	TREG	10	9.9906363e-09	preeq_ss
S3S4_complex_obs	TREG	10	49.822909	preeq_ss
S3STAT3d_complex_obs	TREG	10	1.0061188e-08	preeq_ss
PKA_active	TREG	10	47.772646	preeq_ss
Free_TGFb_obs	TREG	15	0.99784819	preeq_ss
IL6R_Active	TREG	15	9.9822841e-09	preeq_ss
Free_IL6_obs	TREG	15	1.0026525e-08	preeq_ss
pSMAD3_obs	TREG	15	83.482509	preeq_ss
STAT3d_active_obs	TREG	15	1.0020533e-08	preeq_ss
S3S4_complex_obs	TREG	15	50.100631	preeq_ss
S3STAT3d_complex_obs	TREG	15	1.0107531e-08	preeq_ss
PKA_active	TREG	15	47.712518	preeq_ss
Free_TGFb_obs	TREG	20	0.99742961	preeq_ss
IL6R_Active	TREG	20	9.9592698e-09	preeq_ss
Free_IL6_obs	TREG	20	1.0030721e-08	preeq_ss
pSMAD3_obs	TREG	20	83.801823	preeq_ss
STAT3d_active_obs	TREG	20	9.9941794e-09	preeq_ss
S3S4_complex_obs	TREG	20	49.783259	preeq_ss
S3STAT3d_complex_obs	TREG	20	9.9587366e-09	preeq_ss
PKA_active	TREG	20	47.965347	preeq_ss
Free_TGFb_obs	TREG	25	1.0037106	preeq_ss
IL6R_Active	TREG	25	1.0027069e-08	preeq_ss
Free_IL6_obs	TREG	25	9.9666554e-09	preeq_ss
pSMAD3_obs	TREG	25	83.426894	preeq_ss
STAT3d_active_obs	TREG	25	1.0005711e-08	preeq_ss
S3S4_complex_obs	TREG	25	50.04752	preeq_ss
S3STAT3d_complex_obs	TREG	25	1.0043541e-08	preeq_ss
PKA_active	TREG	25	47.863051	preeq_ss
Free_TGFb_obs	TREG	30	1.0033878	preeq_ss
IL6R_Active	TREG	30	1.0003254e-08	preeq_ss
Free_IL6_obs	TREG	30	1.0014341e-08	preeq_ss
pSMAD3_obs	TREG	30	83.593549	preeq_ss
STAT3d_active_obs	TREG	30	9.9272833e-09	preeq_ss
S3S4_complex_obs	TREG	30	49.912984	preeq_ss
