observableId	simulationConditionId	time	measurement
IL6R_Active	TREG	0	1.0030517e-08
IL6R_Active	TREG	0	9.8965431e-09
IL6R_Active	TREG	0	1.0075326e-08
pSTAT3_obs	TREG	0	1.0094498e-08
pSTAT3_obs	TREG	0	9.8067922e-09
pSTAT3_obs	TREG	0	9.8706294e-09
STAT3d_active_obs	TREG	0	1.0012792e-08
STAT3d_active_obs	TREG	0	9.9684265e-09
STAT3d_active_obs	TREG	0	9.9983201e-09
S3STAT3d_complex_obs	TREG	0	9.9150605e-09
S3STAT3d_complex_obs	TREG	0	1.0088325e-08
S3STAT3d_complex_obs	TREG	0	1.007808e-08
IL6R_Active	TREG	5	1.0006605e-08
IL6R_Active	TREG	5	1.0113359e-08
IL6R_Active	TREG	5	1.0046859e-08
pSTAT3_obs	TREG	5	9.914441e-09
pSTAT3_obs	TREG	5	1.0036942e-08
pSTAT3_obs	TREG	5	9.9045724e-09
STAT3d_active_obs	TREG	5	1.008823e-08
STAT3d_active_obs	TREG	5	9.9950088e-09
STAT3d_active_obs	TREG	5	9.9815313e-09
S3STAT3d_complex_obs	TREG	5	9.93214e-09
S3STAT3d_complex_obs	TREG	5	1.0123001e-08
S3STAT3d_complex_obs	TREG	5	9.9845594e-09
IL6R_Active	TREG	10	9.9572599e-09
IL6R_Active	TREG	10	9.9648494e-09
IL6R_Active	TREG	10	1.0053372e-08
pSTAT3_obs	TREG	10	1.003661e-08
pSTAT3_obs	TREG	10	1.0041358e-08
pSTAT3_obs	TREG	10	1.0043174e-08
STAT3d_active_obs	TREG	10	1.0216469e-08
STAT3d_active_obs	TREG	10	9.959442e-09
STAT3d_active_obs	TREG	10	9.948908e-09
S3STAT3d_complex_obs	TREG	10	9.918955e-09
S3STAT3d_complex_obs	TREG	10	1.0061786e-08
S3STAT3d_complex_obs	TREG	10	1.0113534e-08
IL6R_Active	TREG	15	9.988612e-09
IL6R_Active	TREG	15	9.9163384e-09
IL6R_Active	TREG	15	9.9178929e-09
pSTAT3_obs	TREG	15	1.006527e-08
pSTAT3_obs	TREG	15	1.00746e-08
pSTAT3_obs	TREG	15	1.0054462e-08
STAT3d_active_obs	TREG	15	9.9336716e-09
STAT3d_active_obs	TREG	15	1.0023243e-08
STAT3d_active_obs	TREG	15	1.0011675e-08
S3STAT3d_complex_obs	TREG	15	1.0021892e-08
S3STAT3d_complex_obs	TREG	15	1.0087521e-08
S3STAT3d_complex_obs	TREG	15	1.0022384e-08
IL6R_Active	TREG	30	1.0068121e-08
IL6R_Active	TREG	30	1.000676e-08
IL6R_Active	TREG	30	1.0028953e-08
pSTAT3_obs	TREG	30	1.0063327e-08
pSTAT3_obs	TREG	30	9.8553445e-09
pSTAT3_obs	TREG	30	9.9680847e-09
STAT3d_active_obs	TREG	30	9.9530744e-09
STAT3d_active_obs	TREG	30	9.9363175e-09
STAT3d_active_obs	TREG	30	9.9725243e-09
S3STAT3d_complex_obs	TREG	30	1.0150613e-08
S3STAT3d_complex_obs	TREG	30	9.9137928e-09
S3STAT3d_complex_obs	TREG	30	1.0097296e-08
IL6R_Active	TREG	45	9.8331253e-09
IL6R_Active	TREG	45	9.9665683e-09
IL6R_Active	TREG	45	1.0016288e-08
pSTAT3_obs	TREG	45	1.0058793e-08
pSTAT3_obs	TREG	45	1.0071374e-08
pSTAT3_obs	TREG	45	1.0079648e-08
STAT3d_active_obs	TREG	45	9.9651891e-09
STAT3d_active_obs	TREG	45	9.9538727e-09
STAT3d_active_obs	TREG	45	1.0086165e-08
S3STAT3d_complex_obs	TREG	45	9.9808883e-09
S3STAT3d_complex_obs	TREG	45	9.8732448e-09
S3STAT3d_complex_obs	TREG	45	9.8873138e-09
IL6R_Active	TH17	0	9.9084785e-09
IL6R_Active	TH17	0	1.0049839e-08
IL6R_Active	TH17	0	1.0014252e-08
pSTAT3_obs	TH17	0	1.0069286e-08
pSTAT3_obs	TH17	0	9.9573669e-09
pSTAT3_obs	TH17	0	1.0015866e-08
STAT3d_active_obs	TH17	0	1.0062754e-08
STAT3d_active_obs	TH17	0	9.9691139e-09
STAT3d_active_obs	TH17	0	1.0045781e-08
S3STAT3d_complex_obs	TH17	0	9.9340276e-09
S3STAT3d_complex_obs	TH17	0	9.9637613e-09
S3STAT3d_complex_obs	TH17	0	9.9618999e-09
IL6R_Active	TH17	5	87.345036
IL6R_Active	TH17	5	88.827289
IL6R_Active	TH17	5	87.981837
pSTAT3_obs	TH17	5	6.9869173
pSTAT3_obs	TH17	5	7.0197096
pSTAT3_obs	TH17	5	7.0173082
STAT3d_active_obs	TH17	5	37.915211
STAT3d_active_obs	TH17	5	37.626698
STAT3d_active_obs	TH17	5	37.504683
S3STAT3d_complex_obs	TH17	5	9.4878376
S3STAT3d_complex_obs	TH17	5	9.3365329
S3STAT3d_complex_obs	TH17	5	9.3589877
IL6R_Active	TH17	10	76.53947
IL6R_Active	TH17	10	76.788969
IL6R_Active	TH17	10	77.869228
pSTAT3_obs	TH17	10	6.485152
pSTAT3_obs	TH17	10	6.5194387
pSTAT3_obs	TH17	10	6.6297147
STAT3d_active_obs	TH17	10	56.873411
STAT3d_active_obs	TH17	10	57.498879
STAT3d_active_obs	TH17	10	56.546004
S3STAT3d_complex_obs	TH17	10	23.348078
S3STAT3d_complex_obs	TH17	10	23.174882
S3STAT3d_complex_obs	TH17	10	23.316908
IL6R_Active	TH17	15	69.660319
IL6R_Active	TH17	15	67.894512
IL6R_Active	TH17	15	69.378159
pSTAT3_obs	TH17	15	6.0116689
pSTAT3_obs	TH17	15	5.9618674
pSTAT3_obs	TH17	15	5.9112947
STAT3d_active_obs	TH17	15	63.152783
STAT3d_active_obs	TH17	15	62.773992
STAT3d_active_obs	TH17	15	63.254252
S3STAT3d_complex_obs	TH17	15	32.710325
S3STAT3d_complex_obs	TH17	15	33.231215
S3STAT3d_complex_obs	TH17	15	32.624996
IL6R_Active	TH17	30	52.857228
IL6R_Active	TH17	30	53.496803
IL6R_Active	TH17	30	53.518592
pSTAT3_obs	TH17	30	5.0598779
pSTAT3_obs	TH17	30	5.0334303
pSTAT3_obs	TH17	30	5.0094165
STAT3d_active_obs	TH17	30	68.564485
STAT3d_active_obs	TH17	30	66.770055
STAT3d_active_obs	TH17	30	67.137629
S3STAT3d_complex_obs	TH17	30	45.269319
S3STAT3d_complex_obs	TH17	30	45.512957
S3STAT3d_complex_obs	TH17	30	45.06602
IL6R_Active	TH17	45	46.350002
IL6R_Active	TH17	45	45.954318
IL6R_Active	TH17	45	45.384121
pSTAT3_obs	TH17	45	4.6222695
pSTAT3_obs	TH17	45	4.6841122
pSTAT3_obs	TH17	45	4.7087496
STAT3d_active_obs	TH17	45	69.934532
STAT3d_active_obs	TH17	45	70.578858
STAT3d_active_obs	TH17	45	68.836679
S3STAT3d_complex_obs	TH17	45	48.751222
S3STAT3d_complex_obs	TH17	45	48.197419
S3STAT3d_complex_obs	TH17	45	49.368
