observableId	simulationConditionId	time	measurement
Free_IL6_obs	TREG	0	0.015235864
Free_IL6_obs	TREG	0	1e-08
Free_IL6_obs	TREG	0	0.037522571
Free_TGFb_obs	TREG	0	1.1410847
Free_TGFb_obs	TREG	0	0.70734472
Free_TGFb_obs	TREG	0	0.80467307
IL6R_Active	TREG	0	0.0063920303
IL6R_Active	TREG	0	1e-08
IL6R_Active	TREG	0	1e-08
TGFbR_Active	TREG	0	1e-08
TGFbR_Active	TREG	0	0.04396991
TGFbR_Active	TREG	0	0.038889608
pSMAD3_obs	TREG	0	0.0033015449
pSMAD3_obs	TREG	0	0.056362071
pSMAD3_obs	TREG	0	0.023375478
pSTAT3_obs	TREG	0	1e-08
pSTAT3_obs	TREG	0	0.01843755
pSTAT3_obs	TREG	0	1e-08
STAT3d_active_obs	TREG	0	0.043922526
STAT3d_active_obs	TREG	0	1e-08
STAT3d_active_obs	TREG	0	1e-08
S3S4_complex_obs	TREG	0	1e-08
S3S4_complex_obs	TREG	0	0.061127078
S3S4_complex_obs	TREG	0	1e-08
S3STAT3d_complex_obs	TREG	0	1e-08
S3STAT3d_complex_obs	TREG	0	1e-08
S3STAT3d_complex_obs	TREG	0	0.02661547
PKA_active	TREG	0	0.018272214
PKA_active	TREG	0	0.020636641
PKA_active	TREG	0	0.021541061
Free_IL6_obs	TREG	5	0.10708239
Free_IL6_obs	TREG	5	1e-08
Free_IL6_obs	TREG	5	1e-08
Free_TGFb_obs	TREG	5	0.87793409
Free_TGFb_obs	TREG	5	1.0923969
Free_TGFb_obs	TREG	5	1.1693458
IL6R_Active	TREG	5	1e-08
IL6R_Active	TREG	5	1e-08
IL6R_Active	TREG	5	1e-08
TGFbR_Active	TREG	5	16.795248
TGFbR_Active	TREG	5	16.945719
TGFbR_Active	TREG	5	16.620782
pSMAD3_obs	TREG	5	0.49025668
pSMAD3_obs	TREG	5	0.58548681
pSMAD3_obs	TREG	5	0.5732365
pSTAT3_obs	TREG	5	0.01093444
pSTAT3_obs	TREG	5	0.04357145
pSTAT3_obs	TREG	5	0.011179788
STAT3d_active_obs	TREG	5	0.033945689
STAT3d_active_obs	TREG	5	0.0033789635
STAT3d_active_obs	TREG	5	0.01445598
S3S4_complex_obs	TREG	5	0.6147776
S3S4_complex_obs	TREG	5	0.39578714
S3S4_complex_obs	TREG	5	0.51506171
