parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
TGFb_0	lin	1.0	1.0	1.0	0
IL6_0	lin	0.0	0.0	0.0	0
kf_il6_bind	log10	0.01	0.01	0.01	0
kr_il6_bind	log10	0.01	0.01	0.01	0
k_act_il6r	log10	0.5	0.5	0.5	0
k_inact_il6r	log10	0.05	0.05	0.05	0
k_phos_smad3	log10	0.1	0.1	0.1	0
k_dephos_smad3	log10	0.05	0.05	0.05	0
k_act_stat3_by_il6r	log10	0.002	0.2	0.02	1
k_deact_stat3	log10	0.05	0.05	0.05	0
kf_s3s4	log10	0.1	10.0	1.0	1
kr_s3s4	log10	0.1	0.1	0.1	0
kf_s3stat3d	log10	0.1	10.0	1.0	1
kr_s3stat3d	log10	0.1	0.1	0.1	0
kf_pka_bind	log10	0.1	10.0	1.0	1
kr_pka_bind	log10	0.1	0.1	0.1	0
k_cat_pka	log10	0.02	2.0	0.2	1
k_deact_pka	log10	0.05	0.05	0.05	0
IL6R_0	log10	100.0	100.0	100.0	0
SMAD3_0	log10	100.0	100.0	100.0	0
SMAD4_0	log10	50.0	50.0	50.0	0
STAT3m_0	log10	100.0	100.0	100.0	0
PKA_0	log10	50.0	50.0	50.0	0
