observableId	observableName	observableFormula	noiseFormula	noiseDistribution	observableParameters	noiseParameters
Free_IL6_obs	Free_IL6_obs	observableParameter1_scale_Free_IL6_obs * Free_IL6_obs	noiseParameter1_sigma_const	logNormal	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	Free_TGFb_obs	observableParameter1_scale_Free_TGFb_obs * Free_TGFb_obs	noiseParameter1_sigma_const	logNormal	scale_Free_TGFb_obs	sigma_const
IL6R_Active	IL6R_Active	observableParameter1_scale_IL6R_Active * IL6R_Active	noiseParameter1_sigma_const	logNormal	scale_IL6R_Active	sigma_const
TGFbR_Active	TGFbR_Active	observableParameter1_scale_TGFbR_Active * TGFbR_Active	noiseParameter1_sigma_const	logNormal	scale_TGFbR_Active	sigma_const
pSMAD3_obs	pSMAD3_obs	observableParameter1_scale_pSMAD3_obs * pSMAD3_obs	noiseParameter1_sigma_const	logNormal	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	pSTAT3_obs	observableParameter1_scale_pSTAT3_obs * pSTAT3_obs	noiseParameter1_sigma_const	logNormal	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	STAT3d_active_obs	observableParameter1_scale_STAT3d_active_obs * STAT3d_active_obs	noiseParameter1_sigma_const	logNormal	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	S3S4_complex_obs	observableParameter1_scale_S3S4_complex_obs * S3S4_complex_obs	noiseParameter1_sigma_const	logNormal	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	S3STAT3d_complex_obs	observableParameter1_scale_S3STAT3d_complex_obs * S3STAT3d_complex_obs	noiseParameter1_sigma_const	logNormal	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	PKA_active	observableParameter1_scale_PKA_active * PKA_active	noiseParameter1_sigma_const	logNormal	scale_PKA_active	sigma_const
pSTAT3_norm_total_obs	pSTAT3 Normalized	scale_pSTAT3_norm * (pSTAT3_obs / Total_STAT3_obs)	sigma_pSTAT3_norm	normal	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSMAD3_norm_total_obs	pSMAD3 Normalized	scale_pSMAD3_norm * (pSMAD3_obs / Total_SMAD3_obs)	sigma_pSMAD3_norm	normal	scale_pSMAD3_norm	sigma_pSMAD3_norm
