parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
TGFb_0	TGFb_0	log10	1.0	1.0	1.0	0
IL6_0	IL6_0	log10	0.0	0.0	0.0	0
kf_il6_bind	kf_il6_bind	log10	0.0001	1.0	0.01	1
kr_il6_bind	kr_il6_bind	log10	0.0001	1.0	0.01	1
k_act_il6r	k_act_il6r	log10	0.005	50.0	0.5	1
k_inact_il6r	k_inact_il6r	log10	0.0005	5.0	0.05	1
k_phos_smad3	k_phos_smad3	log10	0.001	10.0	0.1	1
k_dephos_smad3	k_dephos_smad3	log10	0.0005	5.0	0.05	1
k_act_stat3_by_il6r	k_act_stat3_by_il6r	log10	0.0002	2.0	0.02	1
k_deact_stat3	k_deact_stat3	log10	0.0005	5.0	0.05	1
kf_s3s4	kf_s3s4	log10	0.01	100.0	1.0	1
kr_s3s4	kr_s3s4	log10	0.001	10.0	0.1	1
kf_s3stat3d	kf_s3stat3d	log10	0.01	100.0	1.0	1
kr_s3stat3d	kr_s3stat3d	log10	0.001	10.0	0.1	1
kf_pka_bind	kf_pka_bind	log10	0.01	100.0	1.0	1
kr_pka_bind	kr_pka_bind	log10	0.001	10.0	0.1	1
k_cat_pka	k_cat_pka	log10	0.002	20.0	0.2	1
k_deact_pka	k_deact_pka	log10	0.0005	5.0	0.05	1
IL6R_0	IL6R_0	log10	100.0	100.0	100.0	0
SMAD3_0	SMAD3_0	log10	100.0	100.0	100.0	0
SMAD4_0	SMAD4_0	log10	50.0	50.0	50.0	0
STAT3m_0	STAT3m_0	log10	100.0	100.0	100.0	0
PKA_0	PKA_0	log10	50.0	50.0	50.0	0
noiseParameter1_Free_TGFb_obs	noiseParameter1_Free_TGFb_obs	log10	1e-06	1000000.0	0.1	1
noiseParameter1_IL6R_Active	noiseParameter1_IL6R_Active	log10	1e-06	1000000.0	0.1	1
noiseParameter1_Free_IL6_obs	noiseParameter1_Free_IL6_obs	log10	1e-06	1000000.0	0.1	1
noiseParameter1_pSMAD3_obs	noiseParameter1_pSMAD3_obs	log10	1e-06	1000000.0	0.1	1
noiseParameter1_STAT3d_active_obs	noiseParameter1_STAT3d_active_obs	log10	1e-06	1000000.0	0.1	1
noiseParameter1_S3S4_complex_obs	noiseParameter1_S3S4_complex_obs	log10	1e-06	1000000.0	0.1	1
noiseParameter1_S3STAT3d_complex_obs	noiseParameter1_S3STAT3d_complex_obs	log10	1e-06	1000000.0	0.1	1
noiseParameter1_PKA_active	noiseParameter1_PKA_active	log10	1e-06	1000000.0	0.1	1
