parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
TGFb_0	TGFb_0	lin	0	10	1	0
IL6_0	IL6_0	lin	0	1000	0	0
kf_il6_bind	kf_il6_bind	log10	0.001	10	0.1	1
kr_il6_bind	kr_il6_bind	log10	0.001	10	0.1	1
k_act_il6r	k_act_il6r	log10	0.015	150	1.5	1
k_internalize	k_internalize	log10	0.0003	3	0.03	1
k_recycle	k_recycle	log10	0.0002	2	0.02	1
k_phos_smad3	k_phos_smad3	log10	0.001	10	0.1	1
k_dephos_smad3	k_dephos_smad3	log10	0.0005	5	0.05	1
kf_stat3_bind	kf_stat3_bind	log10	0.002	20	0.2	1
Kd_stat3_bind	Kd_stat3_bind	log10	0.001	10	0.1	1
k_phos_stat3	k_phos_stat3	log10	0.0025	25	0.25	1
kf_dimer	kf_dimer	log10	0.008	80	0.8	1
Kd_dimer	Kd_dimer	log10	0.005	50	0.5	1
k_dephos_stat3d	k_dephos_stat3d	log10	0.0005	5	0.05	1
kf_s3s4	kf_s3s4	log10	0.01	100	1	1
Kd_s3s4	Kd_s3s4	log10	0.001	10	0.1	1
kf_s3stat3d	kf_s3stat3d	log10	0.01	100	1	1
Kd_s3stat3d	Kd_s3stat3d	log10	0.001	10	0.1	1
kf_pka_bind	kf_pka_bind	log10	0.01	100	1	1
Kd_pka_bind	Kd_pka_bind	log10	0.001	10	0.1	1
IL6R_0	IL6R_0	log10	1.5	15000	150	1
SMAD3_0	SMAD3_0	log10	1	10000	100	1
SMAD4_0	SMAD4_0	log10	0.5	5000	50	1
STAT3m_0	STAT3m_0	log10	1.5	15000	150	1
PKA_0	PKA_0	log10	0.5	5000	50	1
sigma_add	sigma_add	log10	1e-08	10	0.01	1
sigma_mult	sigma_mult	log10	0.0001	1	0.01	1
